§ 612 ]         CONJUGATION OF VERBS.

                Imperative.                     Potential

1 बोध्ये    बोध्यावहै    बोध्यामहै     1 बोध्येय   बोध्येवहि    बोध्येमहि
2 बोध्यस्व  बोध्येथाम्   बोध्यध्वम्    2 बोध्येथाः  बोध्येयाथाम् बोध्येध्वम्
3 बोध्यताम्  बोध्येताम्   बोध्यन्ताम्    3 बोध्येत   बोध्येयाताम् बोध्येरन्

                Perfect.

1 बोधयाञ्चक्रे-बभूवे    बोधयाञ्चक्रहे-बभूविवहे    बोधयाञ्चक्रमहे-बभूविमहे
  बोधयामासे           बोधयामासिवहे             बोधयामासिमहे

2 बोधयाञ्चक्रिषे-बभूविषे  बोधयाञ्चक्राथे-बभूवाथे     बोधयाञ्चक्रिध्वे-बभूविध्वे-ध्वे
  बोधयामासिषे          बोधयामासाथे              बोधयामासिध्वे

3 बोधयाञ्चक्रे-बभूवे     बोधयाञ्चक्राते-बभूवाते      बोधयाञ्चक्रिरे-बभूविरे
  बोधयामासे           बोधयामासाते              बोधयामासिरे

                1st Future.

1 बोधयिताहे,           बोधयितास्वहे            बोधयितास्महे,
  बोधिताहे            बोधितास्वहे             बोधितास्महे

2 बोधयितासे,           बोधयितासाथे,            बोधयिताध्वे,
  बोधितासे            बोधितासाथे              बोधिताध्वे

3 बोधयिता,            बोधयितारौ,              बोधयितारः
  बोधिता             बोधितारौ                बोधितारः

                2nd Future.

1 बोधयिष्ये,           बोधयिष्यावहे,            बोधयिष्यामहे,
  बोधिष्ये            बोधिष्यावहे              बोधिष्यामहे

2 बोधयिष्यसे,          बोधयिष्येथे,             बोधयिष्यध्वे,
  बोधिष्यसे           बोधिष्येथे               बोधिष्यध्वे

3 बोधयिष्यते,          बोधयिष्येते,             बोधयिष्यन्ते,
  बोधिष्यते           बोधिष्येते               बोधिष्यन्ते
