PHASE 4 IMAGE MAPPING
======================================================================

Internal | External | Source        | Original File
----------------------------------------------------------------------
       1 |        7 | official_1931 | 007.png
       2 |        8 | official_1931 | 008.png
       3 |        9 | official_1931 | 009.png
       2 |       18 | official_1931 | 018.png
       3 |       19 | official_1931 | 019.png
       2 |       20 | official_1931 | 020.png
       3 |       21 | official_1931 | 021.png
       4 |       22 | official_1931 | 022.png
       5 |       23 | official_1931 | 023.png
       6 |       24 | official_1931 | 024.png
       7 |       25 | official_1931 | 025.png
       8 |       26 | official_1931 | 026.png
       9 |       27 | official_1931 | 027.png
      10 |       28 | official_1931 | 028.png
      11 |       29 | official_1931 | 029.png
      12 |       30 | official_1931 | 030.png
      13 |       32 | official_1931 | 032.png
      14 |       33 | official_1931 | 033.png
      15 |       34 | official_1931 | 034.png
      16 |       35 | official_1931 | 035.png
      17 |       36 | official_1931 | 036.png
      18 |       37 | official_1931 | 037.png
      19 |       38 | official_1931 | 038.png
      20 |       39 | official_1931 | 039.png
      21 |       40 | official_1931 | 040.png
      22 |       41 | official_1931 | 041.png
      24 |       42 | official_1931 | 042.png
      25 |       43 | official_1931 | 043.png
      26 |       44 | official_1931 | 044.png
      29 |       45 | official_1931 | 045.png
      30 |       46 | official_1931 | 046.png
      31 |       47 | official_1931 | 047.png
      32 |       48 | official_1931 | 048.png
      33 |       49 | official_1931 | 049.png
      34 |       50 | official_1931 | 050.png
      35 |       51 | official_1931 | 051.png
      33 |       52 | official_1931 | 052.png
      34 |       53 | official_1931 | 053.png
      35 |       54 | official_1931 | 054.png
      36 |       55 | official_1931 | 055.png
      37 |       56 | official_1931 | 056.png
      38 |       57 | official_1931 | 057.png
      39 |       58 | official_1931 | 058.png
      40 |       59 | official_1931 | 059.png
      41 |       60 | official_1931 | 060.png
      42 |       61 | official_1931 | 061.png
      43 |       62 | official_1931 | 062.png
      44 |       63 | official_1931 | 063.png
      45 |       64 | official_1931 | 064.png
      46 |       65 | official_1931 | 065.png
      47 |       66 | official_1931 | 066.png
      48 |       67 | official_1931 | 067.png
      49 |       68 | official_1931 | 068.png
      50 |       69 | official_1931 | 069.png
      51 |       70 | official_1931 | 070.png
      52 |       71 | official_1931 | 071.png
      53 |       72 | official_1931 | 072.png
      54 |       73 | official_1931 | 073.png
      55 |       74 | official_1931 | 074.png
      56 |       75 | official_1931 | 075.png
      57 |       76 | official_1931 | 076.png
      58 |       77 | official_1931 | 077.png
      59 |       78 | official_1931 | 078.png
      62 |       79 | official_1931 | 079.png
      60 |       80 | official_1931 | 080.png
      61 |       81 | official_1931 | 081.png
      62 |       82 | official_1931 | 082.png
      63 |       83 | official_1931 | 083.png
      64 |       84 | official_1931 | 084.png
      65 |       85 | official_1931 | 085.png
      66 |       86 | official_1931 | 086.png
      67 |       87 | official_1931 | 087.png
      68 |       88 | official_1931 | 088.png
      69 |       89 | official_1931 | 089.png
      70 |       90 | official_1931 | 090.png
      71 |       91 | official_1931 | 091.png
      72 |       92 | official_1931 | 092.png
      73 |       93 | official_1931 | 093.png
      74 |       94 | official_1931 | 094.png
      75 |       95 | official_1931 | 095.png
      76 |       96 | official_1931 | 096.png
      77 |       97 | official_1931 | 097.png
      78 |       98 | official_1931 | 098.png
      79 |       99 | official_1931 | 099.png
      80 |      100 | official_1931 | 100.png
      81 |      101 | official_1931 | 101.png
      84 |      102 | official_1931 | 102.png
     129 |      103 | official_1931 | 103.png
      83 |      104 | official_1931 | 104.png
      87 |      105 | official_1931 | 105.png
      88 |      106 | official_1931 | 106.png
      89 |      107 | official_1931 | 107.png
      90 |      108 | official_1931 | 108.png
     135 |      109 | official_1931 | 109.png
      92 |      110 | official_1931 | 110.png
      93 |      111 | official_1931 | 111.png
      94 |      112 | official_1931 | 112.png
      95 |      113 | official_1931 | 113.png
      96 |      114 | official_1931 | 114.png
      97 |      115 | official_1931 | 115.png
      98 |      116 | official_1931 | 116.png
      99 |      117 | official_1931 | 117.png
     100 |      118 | official_1931 | 118.png
     101 |      119 | official_1931 | 119.png
       2 |      120 | official_1931 | 120.png
      95 |      121 | official_1931 | 121.png
     104 |      122 | official_1931 | 122.png
     105 |      123 | official_1931 | 123.png
     103 |      124 | official_1931 | 124.png
     107 |      125 | official_1931 | 125.png
     108 |      126 | official_1931 | 126.png
     109 |      127 | official_1931 | 127.png
     110 |      128 | official_1931 | 128.png
     111 |      129 | official_1931 | 129.png
     112 |      130 | official_1931 | 130.png
     113 |      131 | official_1931 | 131.png
     114 |      132 | official_1931 | 132.png
     115 |      133 | official_1931 | 133.png
     116 |      134 | official_1931 | 134.png
     117 |      135 | official_1931 | 135.png
     118 |      136 | official_1931 | 136.png
     119 |      137 | official_1931 | 137.png
     120 |      138 | official_1931 | 138.png
     121 |      139 | official_1931 | 139.png
     122 |      140 | official_1931 | 140.png
     123 |      141 | official_1931 | 141.png
     124 |      142 | official_1931 | 142.png
     125 |      143 | official_1931 | 143.png
     126 |      144 | official_1931 | 144.png
     127 |      145 | official_1931 | 145.png
     128 |      146 | official_1931 | 146.png
     129 |      147 | official_1931 | 147.png
     130 |      148 | official_1931 | 148.png
     131 |      149 | official_1931 | 149.png
     132 |      150 | official_1931 | 150.png
     133 |      151 | official_1931 | 151.png
     134 |      152 | official_1931 | 152.png
     135 |      153 | official_1931 | 153.png
     136 |      154 | official_1931 | 154.png
     137 |      155 | official_1931 | 155.png
     138 |      156 | official_1931 | 156.png
     139 |      157 | official_1931 | 157.png
     140 |      158 | official_1931 | 158.png
     141 |      159 | official_1931 | 159.png
     142 |      160 | official_1931 | 160.png
     143 |      161 | official_1931 | 161.png
     144 |      162 | official_1931 | 162.png
     145 |      163 | official_1931 | 163.png
     146 |      164 | official_1931 | 164.png
     147 |      165 | official_1931 | 165.png
     148 |      166 | official_1931 | 166.png
     149 |      167 | official_1931 | 167.png
     150 |      168 | official_1931 | 168.png
     151 |      169 | official_1931 | 169.png
     152 |      170 | official_1931 | 170.png
     153 |      171 | official_1931 | 171.png
     154 |      172 | official_1931 | 172.png
     155 |      173 | official_1931 | 173.png
     158 |      174 | official_1931 | 174.png
     159 |      175 | official_1931 | 175.png
     160 |      176 | official_1931 | 176.png
     161 |      177 | official_1931 | 177.png
     162 |      178 | official_1931 | 178.png
     163 |      179 | official_1931 | 179.png
     164 |      180 | official_1931 | 180.png
     164 |      181 | official_1931 | 181.png
     165 |      182 | official_1931 | 182.png
     166 |      183 | official_1931 | 183.png
     167 |      184 | official_1931 | 184.png
     168 |      185 | official_1931 | 185.png
     169 |      186 | official_1931 | 186.png
     170 |      187 | official_1931 | 187.png
     171 |      188 | official_1931 | 188.png
     172 |      189 | official_1931 | 189.png
     173 |      190 | official_1931 | 190.png
     175 |      191 | official_1931 | 191.png
     178 |      192 | official_1931 | 192.png
     179 |      193 | official_1931 | 193.png
     180 |      194 | official_1931 | 194.png
     181 |      195 | official_1931 | 195.png
     182 |      196 | official_1931 | 196.png
     183 |      197 | official_1931 | 197.png
     184 |      198 | official_1931 | 198.png
     185 |      199 | official_1931 | 199.png
     186 |      200 | official_1931 | 200.png
     187 |      201 | official_1931 | 201.png
     188 |      202 | official_1931 | 202.png
     189 |      203 | official_1931 | 203.png
     190 |      204 | official_1931 | 204.png
     191 |      205 | official_1931 | 205.png
     192 |      206 | official_1931 | 206.png
     193 |      207 | official_1931 | 207.png
     194 |      208 | official_1931 | 208.png
     195 |      209 | official_1931 | 209.png
     196 |      210 | official_1931 | 210.png
     197 |      211 | official_1931 | 211.png
     198 |      212 | official_1931 | 212.png
     199 |      213 | official_1931 | 213.png
     200 |      214 | official_1931 | 214.png
     201 |      215 | official_1931 | 215.png
     202 |      216 | official_1931 | 216.png
     203 |      217 | official_1931 | 217.png
     204 |      218 | official_1931 | 218.png
     205 |      219 | official_1931 | 219.png
     206 |      220 | official_1931 | 220.png
     207 |      221 | official_1931 | 221.png
     208 |      222 | official_1931 | 222.png
     209 |      223 | official_1931 | 223.png
     210 |      224 | official_1931 | 224.png
     211 |      225 | official_1931 | 225.png
     212 |      226 | official_1931 | 226.png
     213 |      227 | official_1931 | 227.png
     214 |      228 | official_1931 | 228.png
     215 |      229 | official_1931 | 229.png
     216 |      230 | official_1931 | 230.png
     217 |      231 | official_1931 | 231.png
     218 |      232 | official_1931 | 232.png
     219 |      233 | official_1931 | 233.png
     220 |      234 | official_1931 | 234.png
     221 |      235 | official_1931 | 235.png
     222 |      236 | official_1931 | 236.png
     223 |      237 | official_1931 | 237.png
     224 |      238 | official_1931 | 238.png
     225 |      239 | official_1931 | 239.png
     226 |      240 | official_1931 | 240.png
     227 |      241 | official_1931 | 241.png
     228 |      242 | official_1931 | 242.png
     229 |      243 | official_1931 | 243.png
     230 |      244 | official_1931 | 244.png
     231 |      245 | official_1931 | 245.png
     232 |      246 | official_1931 | 246.png
     233 |      247 | official_1931 | 247.png
     234 |      248 | official_1931 | 248.png
     235 |      249 | official_1931 | 249.png
     236 |      250 | official_1931 | 250.png
     237 |      251 | official_1931 | 251.png
     238 |      252 | official_1931 | 252.png
     239 |      253 | official_1931 | 253.png
     240 |      254 | official_1931 | 254.png
     241 |      255 | official_1931 | 255.png
     242 |      256 | official_1931 | 256.png
     243 |      257 | official_1931 | 257.png
     244 |      258 | official_1931 | 258.png
     245 |      259 | official_1931 | 259.png
     246 |      260 | official_1931 | 260.png
     247 |      261 | official_1931 | 261.png
     248 |      262 | official_1931 | 262.png
     249 |      263 | official_1931 | 263.png
     250 |      264 | official_1931 | 264.png
